Disease Name	Hormone Name	Interaction	Drug Name
Atrial Fibrillation	Acetylcholine	side_effect	Propranolol
Atrial Fibrillation	Calcitriol	inhibits	Acenocoumarol
Atrial Fibrillation	Progesterone	inhibits	Phenprocoumon
Atrial Fibrillation	Progesterone	inhibits	Acenocoumarol
Atrial Fibrillation	Progesterone	inhibits	Heparin
Atrial Fibrillation	Progesterone	activates	Verapamil
Atrial Fibrillation	Estradiol	inhibits	Phenprocoumon
Atrial Fibrillation	Calcitriol	inhibits	Warfarin
Atrial Fibrillation	Acetylcholine	side_effect	Nadolol
###Heart Failure###
Heart Failure	Progesterone	inhibits	Warfarin
Heart Failure	Melatonin	inhibits	Felodipine
Heart Failure	Acetylcholine	side_effect	Sotalol
Heart Failure	Melatonin	inhibits	Nisoldipine
Heart Failure	Acetylcholine	side_effect	Metoprolol
Heart Failure	Adenosine	side_effect	Digoxin
Heart Failure	Acetylcholine	side_effect	Carvedilol
Heart Failure	Calcitriol	activates	Digoxin
Heart Failure	Acetylcholine	side_effect	Bisoprolol
Heart Failure	Adenosine	side_effect	Dipyridamole
Heart Failure	Melatonin	inhibits	Nicardipine
Heart Failure	Calcitriol	activates	Aminophylline
Heart Failure	Acetylcholine	side_effect	Propranolol
Heart Failure	Melatonin	inhibits	Nifedipine
Heart Failure	Estradiol	activates	Thalidomide
Heart Failure	Progesterone	activates	Verapamil
Heart Failure	Calcitriol	inhibits	Warfarin
Heart Failure	Acetylcholine	side_effect	Bendroflumethiazide
Heart Failure	Acetylcholine	side_effect	Atenolol
###Hypotension###
Hypotension	Epinephrine	inhibits	Glyburide
Hypotension	Acetylcholine	side_effect	Edrophonium
Hypotension	Acetylcholine	side_effect	Esmolol
Hypotension	Acetylcholine	side_effect	Metoprolol
Hypotension	Acetylcholine	side_effect	Carvedilol
Hypotension	Calcitriol	activates	Theophylline
Hypotension	Acetylcholine	side_effect	Pindolol
Hypotension	Acetylcholine	side_effect	Labetalol
Hypotension	Adenosine	side_effect	Dipyridamole
Hypotension	Progesterone	inhibits	Glyburide
Hypotension	Acetylcholine	side_effect	Physostigmine
Hypotension	Calcitriol	activates	Aminophylline
Hypotension	Estradiol	inhibits	Glyburide
Hypotension	Acetylcholine	side_effect	Propranolol
Hypotension	Acetylcholine	side_effect	Neostigmine
Hypotension	Progesterone	activates	Verapamil
Hypotension	Acetylcholine	side_effect	Atenolol
###Seizures###
Seizures	Melatonin	inhibits	Felodipine
Seizures	Calcitriol	inhibits	Nimodipine
Seizures	Acetylcholine	side_effect	Galantamine
Seizures	Calcitriol	activates	Theophylline
Seizures	Progesterone	activates	Vincristine
Seizures	Progesterone	inhibits	Metformin
Seizures	Calcitriol	activates	Magnesium Sulfate
Seizures	Acetylcholine	side_effect	Physostigmine
Seizures	Acetylcholine	side_effect	Propranolol
Seizures	Melatonin	inhibits	Nifedipine
Seizures	Estradiol	inhibits	Nimodipine
Seizures	Calcitriol	activates	Magnesium chloride
Seizures	Melatonin	inhibits	Nimodipine
Seizures	Progesterone	activates	Verapamil
Seizures	Adenosine	side_effect	Carbamazepine
Seizures	Acetylcholine	side_effect	Atenolol
###Hyperalgesia###
Hyperalgesia	Calcitriol	inhibits	Nimodipine
Hyperalgesia	Epinephrine	inhibits	Glyburide
Hyperalgesia	Acetylcholine	side_effect	Metoprolol
Hyperalgesia	Acetylcholine	side_effect	Pindolol
Hyperalgesia	Calcitriol	activates	Magnesium Sulfate
Hyperalgesia	Progesterone	inhibits	Glyburide
Hyperalgesia	Estradiol	inhibits	Glyburide
Hyperalgesia	Melatonin	inhibits	Nifedipine
Hyperalgesia	Estradiol	inhibits	Nimodipine
Hyperalgesia	Acetylcholine	side_effect	Neostigmine
Hyperalgesia	Estradiol	activates	Thalidomide
Hyperalgesia	Progesterone	inhibits	Tolbutamide
Hyperalgesia	Melatonin	inhibits	Nimodipine
Hyperalgesia	Progesterone	activates	Verapamil
Hyperalgesia	Adenosine	side_effect	Carbamazepine
###Hyperglycemia###
Hyperglycemia	Epinephrine	inhibits	Glyburide
Hyperglycemia	Acetylcholine	side_effect	Sotalol
Hyperglycemia	Progesterone	inhibits	Metformin
Hyperglycemia	Progesterone	inhibits	Glyburide
Hyperglycemia	Estradiol	inhibits	Glyburide
Hyperglycemia	Acetylcholine	side_effect	Propranolol
Hyperglycemia	Estradiol	inhibits	Gliclazide
Hyperglycemia	Estradiol	side_effect	Dehydroepiandrosterone
Hyperglycemia	Progesterone	inhibits	Gliclazide
Hyperglycemia	Epinephrine	inhibits	Gliclazide
Hyperglycemia	Progesterone	inhibits	Tolbutamide
Hyperglycemia	Estradiol	inhibits	Ursodeoxycholic acid
###Postoperative Complications###
Postoperative Complications	Acetylcholine	side_effect	Esmolol
Postoperative Complications	Acetylcholine	side_effect	Carvedilol
Postoperative Complications	Estradiol	inhibits	Enoxaparin
Postoperative Complications	Progesterone	inhibits	Enoxaparin
Postoperative Complications	Acetylcholine	side_effect	Bisoprolol
Postoperative Complications	Acetylcholine	side_effect	Physostigmine
Postoperative Complications	Acetylcholine	side_effect	Propranolol
Postoperative Complications	Melatonin	inhibits	Nifedipine
Postoperative Complications	Progesterone	inhibits	Heparin
Postoperative Complications	Progesterone	inhibits	Argatroban
Postoperative Complications	Estradiol	inhibits	Ursodeoxycholic acid
###Diabetic Nephropathies###
Diabetic Nephropathies	Progesterone	inhibits	Warfarin
Diabetic Nephropathies	Acetylcholine	side_effect	Metoprolol
Diabetic Nephropathies	Progesterone	inhibits	Metformin
Diabetic Nephropathies	Melatonin	inhibits	Nifedipine
Diabetic Nephropathies	Estradiol	inhibits	Gliclazide
Diabetic Nephropathies	Progesterone	inhibits	Gliclazide
Diabetic Nephropathies	Epinephrine	inhibits	Gliclazide
Diabetic Nephropathies	Adenosine	side_effect	Carbamazepine
Diabetic Nephropathies	Calcitriol	inhibits	Warfarin
Diabetic Nephropathies	Acetylcholine	side_effect	Bendroflumethiazide
Diabetic Nephropathies	Acetylcholine	side_effect	Atenolol
###Venous Thromboembolism###
Venous Thromboembolism	Progesterone	inhibits	Warfarin
Venous Thromboembolism	Progesterone	inhibits	Rivaroxaban
Venous Thromboembolism	Estradiol	inhibits	Enoxaparin
Venous Thromboembolism	Progesterone	inhibits	Enoxaparin
Venous Thromboembolism	Estradiol	inhibits	Acenocoumarol
Venous Thromboembolism	Calcitriol	inhibits	Acenocoumarol
Venous Thromboembolism	Progesterone	inhibits	Acenocoumarol
Venous Thromboembolism	Progesterone	inhibits	Heparin
Venous Thromboembolism	Calcitriol	inhibits	Warfarin
###Acute Kidney Injury###
Acute Kidney Injury	Melatonin	inhibits	Amlodipine
Acute Kidney Injury	Melatonin	inhibits	Nisoldipine
Acute Kidney Injury	Acetylcholine	side_effect	Carvedilol
Acute Kidney Injury	Calcitriol	activates	Theophylline
Acute Kidney Injury	Progesterone	inhibits	Metformin
Acute Kidney Injury	Acetylcholine	side_effect	Propranolol
Acute Kidney Injury	Progesterone	inhibits	Heparin
###Breast Neoplasms###
Breast Neoplasms	Estradiol	inhibits	Anastrozole
Breast Neoplasms	Progesterone	activates	Vincristine
Breast Neoplasms	Estradiol	inhibits	Exemestane
Breast Neoplasms	Progesterone	activates	Verapamil
Breast Neoplasms	Adenosine	side_effect	Carbamazepine
Breast Neoplasms	Progesterone	activates	Doxorubicin
###Colonic Neoplasms###
Colonic Neoplasms	Progesterone	inhibits	Metformin
Colonic Neoplasms	Estradiol	activates	Thalidomide
Colonic Neoplasms	Progesterone	activates	Topotecan
Colonic Neoplasms	Estradiol	inhibits	Ursodeoxycholic acid
Colonic Neoplasms	Acetylcholine	side_effect	Atenolol
Colonic Neoplasms	Progesterone	activates	Doxorubicin
###Ovarian Neoplasms###
Ovarian Neoplasms	Progesterone	activates	Vincristine
Ovarian Neoplasms	Estradiol	activates	Thalidomide
Ovarian Neoplasms	Progesterone	activates	Topotecan
Ovarian Neoplasms	Progesterone	activates	Doxorubicin
###Lung Neoplasms###
Lung Neoplasms	Calcitriol	activates	Theophylline
Lung Neoplasms	Progesterone	activates	Vincristine
Lung Neoplasms	Progesterone	inhibits	Heparin
Lung Neoplasms	Progesterone	activates	Doxorubicin
###Prostatic Neoplasms###
Prostatic Neoplasms	Estradiol	activates	Lenalidomide
Prostatic Neoplasms	Progesterone	activates	Vincristine
Prostatic Neoplasms	Estradiol	activates	Thalidomide
Prostatic Neoplasms	Progesterone	activates	Doxorubicin
