Drug Name	Disease Name
Ipecac	Poisoning
Antimalarials	Lupus Erythematosus, Systemic|Lupus Erythematosus, Discoid
Kynurenic Acid	Hyperkinesis|Seizures|Nerve Degeneration
eremanthin	Diabetes Mellitus, Experimental|Dyslipidemias
Enoximone	Heart Failure|Cardiac Output, Low|Myocardial Infarction|Coronary Artery Disease|Cardiomyopathy, Dilated|Heart Arrest
CTVP protocol	Lymphoma
(3-exo)-8-benzoyl-N-(((2S)7-chloro-2,3-dihydro-1,4-benzodioxin-1-yl)methyl)-8-azabicyclo(3.2.1)octane-3-methanamine monohydrochloride	Hyperkinesis|Catalepsy
Nitrogen Mustard Compounds	Sarcoma, Experimental|Hodgkin Disease|Lupus Erythematosus, Systemic|Nephrotic Syndrome
Mechlorethamine	Hodgkin Disease
Pimozide	Seizures|Dyskinesia, Drug-Induced|Melanoma|Hyperkinesis|Movement Disorders|Blepharospasm|Dystonia|Tourette Syndrome|Cataplexy|Bradycardia
Oxadiazoles	Hypertension
Lincomycin	Gram-Positive Bacterial Infections|Surgical Wound Infection|Staphylococcal Infections|Endocarditis
budlein A	Hyperalgesia|Pain|Edema
AHR 10718	Arrhythmias, Cardiac
Amphetamine	Seizures|Hypotension|Pain|Neoplasms|Precancerous Conditions|Epilepsy|Hyperkinesis|Narcolepsy|Fatigue|Amnesia|Epilepsies, Myoclonic|Memory Disorders|Hypokinesia|Cataplexy|Bradycardia
WAY-169916	Myocardial Reperfusion Injury
liposomal amphotericin B	Aspergillosis|Leishmaniasis, Cutaneous|Keratitis|Candidiasis|Fever of Unknown Origin|Pneumonia|Endophthalmitis|Meningitis, Cryptococcal|Lung Diseases, Fungal|Mucormycosis|Leishmaniasis, Visceral|Pulmonary Aspergillosis|Mycoses|AIDS-Related Opportunistic Infections
methylprednisolone acetate	Rhinitis|Uveitis, Posterior|Low Back Pain|Paresthesia|Foot Dermatoses|Hand Dermatoses|Fasciitis, Plantar|Radiculopathy|Cicatrix|Hemangioma|Sciatica|Pain|Neuralgia, Postherpetic|Macular Edema|Intervertebral Disc Displacement
moguisteine	Cough
perindoprilat	Hypertension
GSK 2324	Hyperglycemia|Obesity|Dyslipidemias|Weight Gain
naltrindole	Hyperkinesis|Dyskinesia, Drug-Induced|Cocaine-Related Disorders
N,N'-dibenzhydrylethane-1,2-diamine dihydrochloride	Catalepsy
alpha-tocopheryl polyethylene glycol succinate	Nervous System Diseases
Phenprocoumon	Atrial Fibrillation|Thromboembolism|Thrombosis
artemetin	Edema|Inflammation|Granuloma|Drug-Induced Liver Injury
N-(1-methylethyl)-1,1,2-trimethylpropylamine	Parkinsonian Disorders|Catalepsy|Parkinson Disease, Secondary|Nerve Degeneration
bunazosin	Myocardial Infarction|Hypertension|Hypertrophy, Left Ventricular|Myocardial Ischemia
Encainide	Tachycardia|Arrhythmias, Cardiac|Tachycardia, Supraventricular
Nalbuphine	Pain|Pruritus|Pain, Postoperative|Vomiting|Anemia, Sickle Cell|Hyperalgesia|Cocaine-Related Disorders|Sphincter of Oddi Dysfunction|Labor Pain|Tachycardia|Spasm|Morphine Dependence|Respiratory Insufficiency|Nausea
Phenoxyacetates	Cholestasis|Catalepsy
neurotensin NT79	Hyperkinesis|Pain
doxofylline	Asthma
temocapril hydrochloride	Heart Failure|Cardiomegaly|Neointima|Cardiomyopathies|Hypertension|Proteinuria
1-(2-fluorophenyl)-3-(2-(morpholin-2-yl)ethyl)-1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide	Pain
3,4-dihydroxybenzohydroxamic acid	Gliosarcoma|HIV Infections|Glioma|Medulloblastoma
UH 232	Substance-Related Disorders|Cocaine-Related Disorders
eristostatin	Death, Sudden|Pulmonary Embolism
Testosterone	Klinefelter Syndrome|Hot Flashes|Infertility, Male|Adenocarcinoma|Amnesia|Neoplasm Metastasis|Dyskinesia, Drug-Induced|Heart Failure|Vascular Calcification|Myocardial Ischemia|Fatigue|Muscular Atrophy|Disease Models, Animal|Prostatic Neoplasms|Memory Disorders|Erectile Dysfunction|Hypogonadism|Hypopituitarism|Thrombosis|Sexual Dysfunction, Physiological|Prostatitis|Hyperkinesis|HIV Wasting Syndrome|Catalepsy|Cryptorchidism|Neurotoxicity Syndromes|Mammary Neoplasms, Experimental
Aspirin-oxycodone hydrochloride-oxycodone terephthalate combination	Pain, Postoperative
suanzaorentang	Seizures
1-(7-(2-chlorophenyl)-8-(4-chlorophenyl)-2-methylpyrazolo(1,5-a)-(1,3,5)triazin-4-yl)-3-ethylaminoazetidine-3-carboxylic acid amide	Parkinsonian Disorders
Tiopronin	Arthritis, Rheumatoid|Myocardial Reperfusion Injury|Urinary Calculi|Cystinuria|Drug-Induced Liver Injury
BGP 15	Peripheral Nervous System Diseases|Drug-Induced Liver Injury
naloxonazine	Hyperkinesis|Substance Withdrawal Syndrome|Anoxia|Hypercapnia|Respiratory Insufficiency
Donnatal	Peptic Ulcer
Enkephalin, Leucine	Bradycardia
NP 031112	Supranuclear Palsy, Progressive|Alzheimer Disease
6-(N,N-dimethylamino)-2-(naphthalene-1-yl)-4-quinazolinone	Mouth Neoplasms
fentonium	Substance Withdrawal Syndrome
N-Methyl-3,4-methylenedioxyamphetamine	Dyskinesia, Drug-Induced|Movement Disorders
homoorientin	Liver Cirrhosis, Alcoholic
NPS R-467	Hyperparathyroidism, Secondary|Nephrocalcinosis
2-phenylaminoadenosine	Hyperkinesis|Myocardial Ischemia
MINE protocol	Lymphoma, Non-Hodgkin
Floxacillin	Community-Acquired Infections|Postoperative Complications|Pneumonia, Bacterial|Meningitis, Bacterial|Endocarditis, Bacterial|Bacteremia|Staphylococcal Infections|Bacterial Infections|Pyomyositis
1-amino-2-phosphonomethylcyclopropanecarboxylic acid	Catalepsy
1,7-N-heptylene-bis-9,9'-amino-1,2,3,4-tetrahydroacridine	Memory Disorders
SB 228357	Catalepsy
prunetin	Sepsis|Inflammation
cinobufagin	Osteosarcoma
kangshuai yizhi	Memory Disorders
Quin2	Hyperalgesia
Estrone	Hyperglycemia|Hyperinsulinism|Pancreatic Diseases
2',3'-O-(2,4,6-trinitrophenyl)adenosine 5'-triphosphate	Pain
seocalcitol	Mammary Neoplasms, Experimental|Breast Neoplasms|Glioma|Mammary Neoplasms, Animal
spantide	Urinary Bladder, Overactive|Neurogenic Inflammation|Edema
Dalteparin	Liver Cirrhosis, Experimental|Angina, Unstable|Acute Coronary Syndrome
MDL 72567	Hypertension, Renal|Angina Pectoris|Heart Failure
lycopene	Hyperplasia|Asthenozoospermia|Kidney Diseases|Neoplasms|Oligospermia|Weight Loss|Skin Neoplasms|Translocation, Genetic|Infertility, Male|Prostatic Neoplasms|Inflammation|Drug-Induced Liver Injury|Testicular Diseases|Hyperglycemia|Neurotoxicity Syndromes|Micronuclei, Chromosome-Defective
ribavirin amidine	Hepatitis C, Chronic
niguldipine	Seizures
Flavin-Adenine Dinucleotide	Ventricular Fibrillation|Hypotension|Ventricular Dysfunction
4-O-(sulfamoyl)-N-tetradecanoyltyramine	Amnesia
diallyl disulfide	Neoplasm Invasiveness|Necrosis|Neoplasms|Colonic Neoplasms|Adenocarcinoma|Drug-Induced Liver Injury|Prostatic Neoplasms|Kidney Diseases
2-methyl-c-5-(4-(5-methyl-2-(4-methylphenyl)-4-oxazolyl)butyl)-1,3-dioxane-r-2-carboxylic acid	Diabetes Mellitus, Experimental|Hyperglycemia|Hypertriglyceridemia|Diabetes Mellitus, Type 2
ecgonine methyl ester	Seizures|Cocaine-Related Disorders
Naproxen	Substance Withdrawal Syndrome|Osteoarthritis, Hip|Back Pain|Spondylitis, Ankylosing|Joint Diseases|Inflammation|Exanthema|Headache|Premature Birth|Pain|Arthritis|Paresthesia|Osteoarthritis|Diabetes Mellitus, Experimental|Pain, Postoperative|Arthritis, Psoriatic|Low Back Pain|Obesity|Endometriosis|Catalepsy|Arthritis, Juvenile|Athletic Injuries|Edema|Synovitis|Bacterial Infections|Catatonia|Arthritis, Rheumatoid|Migraine Disorders|Spasm
schisandrol A	Drug-Induced Liver Injury
Tetrodotoxin	Miosis|Reperfusion Injury|Pain|Neuralgia|Tachycardia, Ventricular|Hyperalgesia|Cocaine-Related Disorders|Nerve Degeneration|Hyperemia
Malondialdehyde	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
3beta-(4-chlorophenyl) tropane-2beta-(3-(4'-methylphenyl) isoxazol-5-yl) hydrochloride	Movement Disorders|Cocaine-Related Disorders
PD-0200347	Osteoarthritis
tenoxicam	Arthritis, Rheumatoid|Osteoarthritis|Pain|Pain, Postoperative|Edema
2-(4-chloro-6-(2,3-dimethylphenylamino)pyrimidin-2-ylthio)octanoic acid	Pleurisy|Inflammation
CPU0213	Hypogonadism
Impromidine	Seizures
oxotremorine M	Cocaine-Related Disorders
Sulfinpyrazone	Arthritis, Gouty|Cardiomyopathy, Hypertrophic|Angina Pectoris|Hyperuricemia|Gout|Myocardial Infarction|Brain Ischemia
Nicorandil	Coronary Vasospasm|Reperfusion Injury|Albuminuria|Angina Pectoris|Tachycardia, Ventricular|Proteinuria|Myocardial Infarction|Brain Ischemia|Arrhythmias, Cardiac|Kidney Failure, Chronic
acetabutone	Hyperkinesis|Myoclonus
Prostaglandins F, Synthetic	Ocular Hypertension
dicarbine	Hyperkinesis
Menthol	Nervous System Diseases|Stomach Ulcer|Neuralgia
Pindolol	Hypothermia|Hypotension|Fibromyalgia|Alzheimer Disease|Angina Pectoris|Ventricular Dysfunction, Left|Hypertension, Renal|Hyperalgesia|Neurobehavioral Manifestations|Hypertension|Angina, Stable|Tremor|Hypertension, Malignant|Tachycardia|Ischemia|Psychophysiologic Disorders|Bradycardia
Fluconazole	Candidiasis, Cutaneous|Meningitis, Cryptococcal|Tinea Pedis|Mucositis|Tinea Versicolor|Central Nervous System Infections|Blastomycosis|Kidney Diseases|Candidiasis, Oral|Candidiasis|Glioblastoma|Peritonitis|Pneumonia, Aspiration|Liver Diseases|Endocarditis|Exanthema|Cryptococcosis|Mycoses|Onychomycosis
VCP protocol 2	Lymphoma
Huangqin-Tang	Weight Loss
suplatast tosilate	Cystitis, Interstitial
2-(2,4-dimethylphenyl)indan-1,3-dione	Hyperlipidemias
Ganciclovir	Retinal Necrosis Syndrome, Acute|Seizures|Acute Kidney Injury|Water-Electrolyte Imbalance|Polyradiculopathy|Cytomegalovirus Infections|Neoplasms, Experimental|Fatigue|Hepatitis B|Cytomegalovirus Retinitis|Jaundice|Encephalitis|AIDS-Related Opportunistic Infections
naphthalen-1-yl-(4-pentyloxynaphthalen-1-yl)methanone	Pain
cadmium telluride	Cartilage Diseases|Inflammation|Carcinoma, Hepatocellular|Edema
sulperazone	Streptococcal Infections|Staphylococcal Infections|Haemophilus Infections
3-(5-(2,3-dichlorophenyl)-1H-tetrazol-1-yl)methylpyridine	Kidney Diseases|Necrosis|Drug-Induced Liver Injury
tributyrin	Drug-Induced Liver Injury
4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid	Drug-Related Side Effects and Adverse Reactions|Cataract
BmK AS polypeptide	Seizures
Zinc Oxide	Sunburn|Wounds and Injuries
CHIVPP protocol	Hodgkin Disease
Flucytosine	Kidney Diseases|Peritonitis|Glioblastoma|Candidiasis|Meningitis, Cryptococcal|Urinary Tract Infections|AIDS-Related Opportunistic Infections
neomangiferin	Hyperinsulinism|Diabetes Mellitus, Type 2
allylpyrocatechol	Stomach Ulcer
3,3',4,5'-tetrahydroxystilbene	Neoplasm Invasiveness|Glucose Intolerance|Prostatic Neoplasms|Neoplasms|Thrombosis|Neoplasm Metastasis|Drug Eruptions|Breast Neoplasms|Anaphylaxis|Cell Transformation, Neoplastic|Mammary Neoplasms, Experimental|Neurotoxicity Syndromes|Colitis|Inflammation
LND 623	Heart Failure
EC regimen	Leukemia, T-Cell|Multiple Myeloma|Lymphoma, T-Cell|Hematologic Diseases
N-benzyladriamycin-14-valerate	Cardiomyopathies
Pyrantel Pamoate	Intestinal Diseases, Parasitic|Oxyuriasis|Trematode Infections|Gastrointestinal Diseases|Horse Diseases|Cestode Infections|Nematode Infections|Ascaridida Infections|Giardiasis|Ascariasis|Dog Diseases|Monkey Diseases|Strongyle Infections, Equine|Enterobiasis|Gallbladder Diseases
bilobalide	Nerve Degeneration
Kri paste	Bacterial Infections
Potassium Dichromate	Bacterial Infections
ormeloxifene	Osteoporosis
baicalein	Neoplasm Invasiveness|Neoplasms|Glioblastoma|Hyperalgesia|Amnesia|Drug-Induced Liver Injury|Lung Neoplasms|Fibrosis
Lignans	Breast Neoplasms|Colorectal Neoplasms|Leukemia
aroclor 1260	Weight Gain
lycium barbarum polysaccharide	Thrombocytopenia|Reperfusion Injury|Anemia
alisol A 24-acetate	Hepatitis B
2-(3-trifluoromethylphenyl)histamine	Amnesia
3',4'-dimethoxyflavone	Esophageal Neoplasms|Necrosis
betulin	Colonic Neoplasms|Drug-Related Side Effects and Adverse Reactions
SB 243213	Hyperkinesis|Catalepsy
2-tert-butyl-4-methylphenol	Adenoma|Lung Neoplasms
1-benzylimidazole	Necrosis
Digitoxin	Hepatorenal Syndrome|Atrial Premature Complexes|Heart Failure|Atrial Fibrillation|Cardiovascular Diseases|Ventricular Dysfunction, Left|Hypertension|Carcinoma, Non-Small-Cell Lung|Cardiomegaly|Pulmonary Heart Disease|Tachycardia, Supraventricular|Heart Diseases
SL 84.0418	Hyperglycemia|Hypertension
flavokawain A	Neoplasms|Inflammation
calcitonin gene-related peptide (8-37)	Hyperemia
EHT 1864	Breast Neoplasms
Emulsions	Shock|Pain|Kidney Diseases|Drug-Induced Liver Injury|Vascular Diseases|Lung Diseases, Interstitial|Inflammation|Kidney Tubular Necrosis, Acute|Coma|Heart Arrest
Chlorthalidone	Cardiomegaly|Tachycardia|Hypertension, Malignant|Hypertension|Edema
Isocarboxazid	Hypertension|Migraine Disorders
pyrrolidine dithiocarbamic acid	Neoplasm Invasiveness|Liver Cirrhosis, Experimental|Colorectal Neoplasms|Lung Injury|Influenza, Human|Nephritis, Interstitial|Kidney Diseases|Breast Neoplasms|Cardiomyopathies|Prostatic Neoplasms|Nerve Degeneration|Respiratory Distress Syndrome, Adult|Necrosis
N-phenacylthiazolium bromide	Diabetes Complications
TRK 820	Pruritus|Dyskinesia, Drug-Induced
Dihydralazine	Ventricular Dysfunction, Left|Hypertension|Cardiomyopathy, Dilated|Heart Failure
3-((3,5-bis(trifluoromethyl)phenyl)methyloxy)-2-phenylpiperidine	Hyperalgesia
Hydroxymethylglutaryl-CoA Reductase Inhibitors	Myocardial Infarction|Hyperlipidemias|Heart Failure|Hypercholesterolemia|Atherosclerosis|Stroke|Hypertriglyceridemia|Acute Coronary Syndrome|Diabetic Angiopathies|Cocaine-Related Disorders|Hyperlipoproteinemia Type III|Aneurysm, Dissecting|Coronary Disease|Coronary Artery Disease|Dyslipidemias|Inflammation
Pentamidine	Babesiosis|Leishmaniasis|Amebiasis|Leishmaniasis, Cutaneous|Trypanosomiasis|Trypanosomiasis, African|Acquired Immunodeficiency Syndrome|Acanthamoeba Keratitis|Pneumonia, Pneumocystis|Leishmaniasis, Mucocutaneous|Lung Diseases, Interstitial|Pneumocystis Infections|Leishmaniasis, Visceral|HIV Infections|Encephalitis|AIDS-Related Opportunistic Infections
Toxiferine	Bradycardia
imetelstat	Thyroid Neoplasms
1-hexylcarbamoyl-5-fluorouracil	Breast Neoplasms|Colorectal Neoplasms|Neoplasms|Carcinoma, Hepatocellular|Ovarian Neoplasms
dimerumic acid	Liver Cirrhosis
Phenanthridines	Pain
2,4-Dinitrophenol	Weight Gain
6-(6-(4-hydroxypiperidinyl)hexyloxy)-3-methylflavone hydrochloride	Seizures
Isotretinoin	Neoplasms, Experimental|Psoriasis|Melanoma|Skin Abnormalities|Neuroblastoma|Skin Diseases|Neoplasms|Rosacea|Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis|Dermatitis|Cicatrix|Cellulitis|Carcinoma, Non-Small-Cell Lung|Precancerous Conditions|Scleromyxedema|Carcinoma, Squamous Cell|Skin Neoplasms|Lymphoma|Lung Neoplasms|Acneiform Eruptions|Acne Vulgaris
5-(2-azetidinylmethoxy)-2-chloropyridine	Hyperalgesia|Pain
MS 857	Heart Failure
Glutethimide	Seizures
adiphenine	Brain Edema
cinitapride	Gastroesophageal Reflux|Dyspepsia|Stomach Ulcer|Gastrointestinal Diseases
piclamilast	Eosinophilia|Trypanosomiasis, African|Pulmonary Eosinophilia
1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine	Catalepsy
methoxy-morpholinyl-doxorubicin	Neoplasms
1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid	Peritonitis|Inflammation|Edema
Oxyphenonium	Myopia
acidic oligosaccharide sugar chain, Echlonia Kurome Okam	Amnesia
Staphylococcal Protein A	Hemolytic-Uremic Syndrome|Hemorrhagic Disorders|Anemia
desethyl KB 3022	Thrombosis
Amiodarone	Syncope|Postoperative Complications|Stomach Ulcer|Atrial Flutter|Wolff-Parkinson-White Syndrome|Cardiomyopathies|Tachycardia|Jaundice|Thyrotoxicosis|Ventricular Premature Complexes|Heart Failure|Cardiomegaly|Ventricular Fibrillation|Tachycardia, Ventricular|Myocardial Ischemia|Lung Diseases|Pregnancy Complications, Cardiovascular|Carotid Artery Thrombosis|Fetal Diseases|Myocardial Infarction|Mycoses|Cardiomyopathy, Dilated|Tachycardia, Supraventricular|Cardiomyopathy, Hypertrophic|Hyperthyroidism|Angina Pectoris|Myocarditis|Autoimmune Diseases|Atrial Fibrillation|Sick Sinus Syndrome|Tachycardia, Reciprocating|Ventricular Dysfunction, Left|Death, Sudden, Cardiac|Arrhythmias, Cardiac|Tachycardia, Ectopic Junctional|Bradycardia|Torsades de Pointes|Ventricular Dysfunction|Heart Diseases
Sodium Potassium Chloride Symporter Inhibitors	Hypercalcemia|Heart Failure
MVMF protocol	Breast Neoplasms
3-nitrophenyl 3-piperidinecarboxylate	Seizures
vanidilol	Tachycardia
benazepril	Glomerulosclerosis, Focal Segmental|Diabetic Nephropathies|Metabolic Syndrome X|Hypertrophy, Left Ventricular|Ventricular Remodeling|Hypertension, Renovascular|Neovascularization, Pathologic|Fibrosis|Uremia|Heart Failure|Myocardial Reperfusion Injury|Atherosclerosis|Myocardial Ischemia|Endomyocardial Fibrosis|Insulin Resistance|Carcinoma|Hyperinsulinism|Nephrosclerosis|Cardiomyopathy, Dilated|Neoplasms, Experimental|Glucose Intolerance|Vascular System Injuries|Glomerulonephritis|Atrial Fibrillation|Kidney Diseases|Renal Insufficiency|Nephrotic Syndrome|Weight Loss|Hypertrophy|Ventricular Dysfunction, Left|Acute Coronary Syndrome|Kidney Failure, Chronic|Albuminuria|Neointima|Hypertension, Renal|Hypertension|Proteinuria|Hyperglycemia
brefanolol	Hypertension|Cardiac Output, High
abacavir, lamivudine drug combination	HIV Infections
SK&F 98625	Inflammation
puag-haad	Stroke|Alzheimer Disease|Drug-Induced Liver Injury
carnidazole	Fish Diseases|Ciliophora Infections
Carnosine	Diabetes Complications|Gliosis|Atherosclerosis|Drug-Induced Liver Injury|Ischemia|Wounds and Injuries
7-(2-(cyclopropylmethoxy)-6-hydroxyphenyl)-5-(3-piperidinyl)-1,4-dihydro-2H-pyrido(2,3-d)(1,3)oxazin-2-one	Nerve Degeneration
Isoxsuprine	Obstetric Labor, Premature|Necrosis|Hypertension
decamethonium	Seizures
octylonium	Substance Withdrawal Syndrome
Guanethidine	Substance Withdrawal Syndrome|Hypotension|Pain|Glaucoma|Reflex Sympathetic Dystrophy|Hyperalgesia|Hypertension|Myocardial Infarction|Bradycardia
TAK 044	Kidney Diseases
ambroxol-theophylline-7-acetate	Asthma|Bronchitis|Bronchitis, Chronic|Emphysema|Inflammation|Pulmonary Disease, Chronic Obstructive
Zinc Acetate	Hepatolenticular Degeneration|Dental Caries|Cholestasis, Intrahepatic
ammonium trichloro(dioxoethylene-O,O'-)tellurate	Blood Platelet Disorders
dihydrexidine	Hyperkinesis|Parkinsonian Disorders
bithionol sulfoxide	Fish Diseases|Ciliophora Infections
acetylstrophanthidin	Heart Failure
WeiJia	Liver Cirrhosis, Experimental
Isoflavones	Colorectal Neoplasms|Heart Failure|Alopecia|Prostatic Neoplasms|Cardiovascular Diseases|Hot Flashes|Hypertension|Neural Tube Defects|Osteoporosis
CF regimen	Stomach Neoplasms|Esophageal Neoplasms|Hypopharyngeal Neoplasms|Maxillary Sinus Neoplasms|Nasopharyngeal Neoplasms|Carcinoma, Squamous Cell|Head and Neck Neoplasms
dorzolamide	Glaucoma, Open-Angle|Glaucoma|Ocular Hypertension
SCH 23390	Seizures|Dyskinesia, Drug-Induced|Abnormalities, Drug-Induced|Hypotension|Dyskinesias|Self Mutilation|Substance Withdrawal Syndrome|Nerve Degeneration|Hyperkinesis|Status Epilepticus|Hyperalgesia|Cocaine-Related Disorders|Amnesia|Brain Injuries|Parkinsonian Disorders|Akathisia, Drug-Induced|Tachycardia|Penile Diseases|Anorexia
netoglitazone	Diabetes Mellitus|Prostatic Neoplasms|Multiple Myeloma
COFP protocol 2	Breast Neoplasms
Chlorides	Kidney Diseases
Voriconazole	Aspergillosis|Leukemia, Promyelocytic, Acute|Neuroaspergillosis|Candidiasis|Pneumonia|Fusariosis|Invasive Pulmonary Aspergillosis|Pulmonary Aspergillosis
Phenazocine	Pain, Postoperative
jasplakinolide	Neoplasm Invasiveness|Carcinoma, Lewis Lung
temocillin	Proteus Infections|Pyelonephritis|Escherichia coli Infections
petrosaspongiolide m	Inflammation
N,N'-dipropyl-1,2-bis(2,6-dichloro-4-hydroxyphenyl)ethylenediamine	Cardiovascular Diseases
C646 compound	Neoplasm Invasiveness|Orthomyxoviridae Infections|Obesity
salvianolic acid A	Amnesia, Anterograde|Myocardial Infarction|Liver Diseases
salvianolic acid B	Liver Cirrhosis, Experimental|Necrosis|Parkinson Disease, Secondary|Drug-Induced Liver Injury|Fibrosis|Heart Diseases
1L-6-hydroxymethyl-chiro-inositol 2(R)-2-O-methyl-3-O-octadecylcarbonate	Leukemia
Acrylonitrile	Chorea
pitavastatin	Proteinuria|Heart Failure
Vaccines	Cocaine-Related Disorders
tetrahydroneopterin	Liver Diseases|Drug-Related Side Effects and Adverse Reactions
Reverse Transcriptase Inhibitors	HIV Infections
mao-bushi-saishin-to	Hypersensitivity
Dasatinib	Neoplasm Invasiveness|Polycythemia Vera|Breast Neoplasms|Leukemia, Myeloid, Chronic-Phase|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Neoplasms, Experimental
lorcaserin	Obesity
CH 5166623	Prostatic Neoplasms, Castration-Resistant
schizandrol B	Precancerous Conditions|Amnesia|Drug-Induced Liver Injury
Aminocaproic Acid	Drug Hypersensitivity|Eye Injuries|Menorrhagia|Necrosis|Hyphema|Nephrotic Syndrome|Cystitis|Angioedema|Hemorrhage|Subarachnoid Hemorrhage
6-O-stearoyl-N-acetylmuramyl-alanylisoglutamine	Substance Withdrawal Syndrome
2-phenylpyrazolo(4,3-c)quinolin-3(5H)-one	Coma
6'-bromodihydropapaverine	Spasm
rociverine	Reflex, Abnormal
EGYT 3615	Catalepsy
prostaglandin A1	Myocardial Infarction
Levonorgestrel	Menorrhagia|Osteoporosis|Uterine Diseases|Endometrial Hyperplasia
pinitol	Diabetes Mellitus, Experimental|Diabetic Nephropathies
Baypamun HK	Herpesviridae Infections|Horse Diseases|Respiratory Tract Infections|Cattle Diseases|Infectious Bovine Rhinotracheitis|Wasting Syndrome
BEP protocol	Neoplasms, Germ Cell and Embryonal|Testicular Neoplasms|Retroperitoneal Neoplasms|Neoplasm Metastasis|Teratocarcinoma|Lung Neoplasms|Liver Neoplasms
Phenformin	Diabetes Mellitus
piretanide	Hypertension
Benzoates	Edema
Trimethadione	Seizures|Pancreatitis|Epilepsy|Epilepsy, Absence|Calculi|Epilepsies, Partial
Catechin	Breast Neoplasms|Nerve Degeneration|Liver Failure, Acute|Atherosclerosis|Neurodegenerative Diseases|Hearing Loss|Cystitis|Insulin Resistance|Hyperhomocysteinemia|Mammary Neoplasms, Experimental|Cell Transformation, Neoplastic|Drug-Induced Liver Injury|Neoplasm Metastasis|Myocardial Infarction|Liver Diseases|HIV Infections|Liver Neoplasms|Weight Gain|Heart Diseases
Nortriptyline	Sleep Disorders|Infarction, Middle Cerebral Artery|Huntington Disease|Amyotrophic Lateral Sclerosis|Catalepsy|Tobacco Use Disorder|Hoarseness|Aphonia|Hallucinations|Neuralgia, Postherpetic|Enuresis|Arrhythmias, Cardiac
trabectedin	Sarcoma|Ovarian Neoplasms
