Drug Name	Gene Symbol
(S)-2-[(R)-3-amino-4-(2-fluorophenyl)butyryl]-1,2,3,4-tetrahydroisoquinoline-3-carboxamide	DPP4
Gliclazide	ABCC8|VEGFA
Ulipristal	NR3C1|AR|PGR
(4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester	CA2
Phenformin	KCNJ8|PRKAA1
EP-2104R	FGA
5-(2,3-dichlorophenyl)-N-(pyridin-4-ylmethyl)-3-thiocyanatopyrazolo[1,5-a]pyrimidin-7-amine	CDK2
2-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)Ethyl]-4-(4'-Ethoxy-1,1'-Biphenyl-4-Yl)-4-Oxobutanoic Acid	MMP12
Aspartate Beryllium Trifluoride	CTDSP1
Sulindac	PTGS2|PTGS1|PTGDR2|MAPK3|PPARD|AKR1B1
Cholic Acid	CES1|ESRRG|COX5A|COX5B|COX2|COX3|COX1|PLA2G1B|FABP6|COX4I1|ADH1C|COX6C|COX8A|COX6B1|COX7B|COX7C|FECH|COX6A2
5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE	NOS2
4-[(7-OXO-7H-THIAZOLO[5,4-E]INDOL-8-YLMETHYL)-AMINO]-N-PYRIDIN-2-YL-BENZENESULFONAMIDE	CDK2|CCNA2
Camptothecin	TOP1
Sparfloxacin	TOP2A
Phenobarbital	GRIN2B|GRIA2|GRIK2|GRIN3B|CHRNA4|GRIN2C|GRIN3A|GRIN2A|GRIN2D|GRIN1|GABRA1
ZK-805623	PRSS1
2'-Deoxycytidine-2'-Deoxyadenosine-3',5'-Monophosphate	RNASE1
Aliskiren	REN
N-ISOBUTYL-N-[4-METHOXYPHENYLSULFONYL]GLYCYL HYDROXAMIC ACID	MMP10|MMP3|MMP12|MMP20
Insulin, porcine	LRP2|SYTL4|IGF1R|PCSK1|CTSD|CPE|RB1|INSR|HLA-DQB1|IGFBP7|NOV|IDE|HLA-DQA2
7-{2,6-DICHLORO-4-[3-(2-CHLORO-BENZOYL)-UREIDO]-PHENOXY}-HEPTANOIC ACID	PYGM
N-(1-ISOPROPYLPIPERIDIN-4-YL)-1-(3-METHOXYBENZYL)-1H-INDOLE-2-CARBOXAMIDE	F10
Lisinopril	ACE2|ACE
Salsalate	PTGS2|PTGS1
REV131	HRH4
NPI 32101	CSF2RB
N-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1H-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide	MAPK14
Floxuridine	TYMS
4-{[5-(CYCLOHEXYLOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE	CDK2|CCNA2
(S)-Hmg-Coa	HMGCR
O-Acetylserine	PTGS1
Enoximone	PDE3A
4-O-(4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Beta-D-Lyxo-Hexopyranosyl)-Alpha-D-Erythro-Hexopyranose	AMY2A
Mimosine	CCL2|SHMT1|TYR
RU78783	SRC
CRA_9785	PRSS1
1,4-Dithio-Alpha-D-Mannose	AMY2B
O-(((1R)-((N-(PHENYL-METHOXY-CARBONYL)-ALANYL)-AMINO)METHYL)HYDROXYPHOSPHINYL)3-L-PHENYLLACTATE	CPA1
Alpha-D-Glucopyranosyl-2-Carboxylic Acid Amide	PYGM
(2R,4R)-N~1~-(4-CHLOROPHENYL)-N~2~-[2-FLUORO-4-(2-OXOPYRIDIN-1(2H)-YL)PHENYL]-4-METHOXYPYRROLIDINE-1,2-DICARBOXAMIDE	F10
Aldosterone	NR3C2
Phosphothiophosphoric Acid-Adenylate Ester	PFKFB1|PMS2
N-[(4-HYDROXY-8-IODOISOQUINOLIN-3-YL)CARBONYL]GLYCINE	EGLN1
Taurocholic Acid	FABP6
Pimozide	DRD3|DRD2|CALM3|KCNH2
L-N(Omega)-Nitroarginine-(4r)-Amino-L-Proline Amide	NOS1|NOS3
(Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE	NMT2
tributylstannanyl	NCOA2|RXRA
N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide	CA2
[PHENYLALANINYL-PROLINYL]-[2-(PYRIDIN-4-YLAMINO)-ETHYL]-AMINE	F2
N-BENZYL-4-[4-(3-CHLOROPHENYL)-1H-PYRAZOL-3-YL]-1H-PYRROLE-2-CARBOXAMIDE	MAPK1|MAPK10
Maprotiline	ADRA1A|SLC6A2|ADRA1B|ADRA1D|DRD2|CHRM5|CHRM4|CHRM3|CHRM2|CHRM1|ADRA2A|HTR7|HTR2A|ADRA2B|HTR2C|HRH1|ADRA2C
Phosphonothreonine	MAPK12|PRKACB|S100A11|MAPK1|PRKACA|AURKA|RHO|CDK7|PRKCQ
1-Methylimidazole	MB
Enalkiren	REN
dimethyl (1R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hepta-2,5-diene-2,3-dicarboxylate	NCOA2|ESR1
SU4984	FGFR2|FGFR1
Amphetamine	SLC6A3|SLC6A2|ADRA1B|TAAR1|ADRA1D|SLC6A4|ADRA1A|DRD2|ADRA2A|ADRA2B|ADRB1|MAOB|ADRB2|ADRB3|CARTPT|SLC18A2|ADRA2C
4'-[(1R)-1-amino-2-(2,5-difluorophenyl)ethyl]biphenyl-3-carboxamide	DPP4
6-Hydroxy-7,8-Dihydro Purine Nucleoside	ADA
N-{2,2-DIFLUORO-2-[(2R)-PIPERIDIN-2-YL]ETHYL}-2-[2-(1H-1,2,4-TRIAZOL-1-YL)BENZYL][1,3]OXAZOLO[4,5-C]PYRIDIN-4-AMINE	F2
4-(2-aminoethoxy)-N-(3-chloro-2-ethoxy-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide	PLAU
Tinzaparin	CXCL12|ITGA4|SERPINC1
Adenosine-2'-5'-Diphosphate	RNASE1|RNASE3|RNASE2
D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate	PFKFB1
L-Alpha-Glycerophosphorylserine	ANXA5
3(S)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID TERT-BUTYL ESTER	PTPN1
(3S,5R,7R,8S,9S,10R)-7-(hydroxymethyl)-3-(2-naphthyl)-1,6-dioxa-2-azaspiro[4.5]decane-8,9,10-triol	PYGM
Cyclosporine	PPIF|CAMLG|PPP3R2|PPIA
(5S)-2-(cyclooctylamino)-5-methyl-5-propyl-1,3-thiazol-4(5H)-one	HSD11B1
4-Nitrophenyl Phosphate	DUSP23|ACP1
Azelaic Acid	TYR
[4-(5-naphthalen-2-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)phenyl]acetic acid	SGK1
Monobenzone	TYR
Amperozide	HTR2A
(6S)-1-chloro-3-[(4-fluorobenzyl)oxy]-6-(pyrrolidin-1-ylcarbonyl)pyrrolo[1,2-a]pyrazin-4(6H)-one	PREP
7-methyl-guanosine-5'-triphosphate-5'-guanosine	DCPS
5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One	TNNC1
Forskolin	ADCY5|ADCY2|GNAS
L-PROLINE, 1-[(2S)-3-MERCAPTO-2-METHYL-1-OXOPROPYL]-4-(PHENYLTHIO)-, 4S	LAP3
Dronedarone	ADRA1A|CACNB4|ADRA1B|ADRA1D|KCNH2|CACNB3|CACNB2|CACNB1|CACNA1C|CACNA1D|ADRA2A|ADRA2C|ADRB1|ADRA2B|SCN1A|CACNA1F|CACNA1S
2-(4-HYDROXY-5-PHENYL-1H-PYRAZOL-3-YL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	F3|F7
3-(1-NAPHTHYLMETHOXY)PYRIDIN-2-AMINE	MAPK14
Phenprocoumon	VKORC1
Nortriptyline	SLC6A2|SLC6A4|ADRA2A|ADRA2B|ADRA2C|HTR2A|HTR2C|HRH1|PGRMC1|CHRM5|CHRM4|CHRM3|CHRM2|CHRM1|HTR6|ADRA1A|ADRA1B|ADRA1D|DRD2|SIGMAR1|ADRB1|ADRB2|ADRB3|HTR1A
(5S)-2-{[(1S)-1-(2-fluorophenyl)ethyl]amino}-5-methyl-5-(trifluoromethyl)-1,3-thiazol-4(5H)-one	HSD11B1
Epinephrine	ADRA1A|ADRA1B|ADRA1D|ADRB3|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|TNF|PAH
Vinylglycine	ACCS
2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE	ABL1
Enoxacin	TOP2A
1-({2-[2-(4-CHLOROPHENYL)ETHYL]-1,3-DIOXOLAN-2-YL}METHYL)-1H-IMIDAZOLE	HMOX1
4-{2-[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid	PYGM
Imatinib	PDGFRB|PDGFRA|DDR1|CSF1R|NTRK1|KIT|ABL1
{(2Z)-4-AMINO-2-[(4-METHOXYPHENYL)IMINO]-2,3-DIHYDRO-1,3-THIAZOL-5-YL}(4-METHOXYPHENYL)METHANONE	CSNK1G3
Ajmaline	SCN5A
Thioridazine	ADRA1A|ADRA1B|KCNH2|DRD2|DRD1|HTR2A
5-{[(4-AMINO-3-CHLORO-5-FLUOROPHENYL)SULFONYL]AMINO}-1,3,4-THIADIAZOLE-2-SULFONAMIDE	CA2
N-(biphenyl-4-ylsulfonyl)-D-leucine	MMP12
Decanoic Acid	GLTP|FURIN
N-cyclopropyl-4-methyl-3-[1-(2-methylphenyl)phthalazin-6-yl]benzamide	MAPK14
S-Octylglutathione	GSTM4
2-{[4-(4-pyridin-4-yl-1H-pyrazol-3-yl)phenoxy]methyl}quinoline	PDE10A
Diazepam	GABRA6|GABRA1|GABRG3|GABRR1|GABRG1|GABRR3|GABRQ|GABRP|GABRD|GABRE|GABRA4|GABRG2|GABRA5|GABRB1|GABRB2|GABRB3|TSPO|GABRR2|GABRA3|GABRA2
4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol	ESR2
3-[(2,2-DIMETHYLPROPANOYL)AMINO]-N-1,3-THIAZOL-2-YLPYRIDINE-2-CARBOXAMIDE	METAP1
Chlormerodrin	ALDH5A1
CYCLOHEXYLMETHYL-2,3-DIHYDROXY-5-METHYL-HEXYLAMIDE	CTSD
1-(HYDROXYMETHYLENEAMINO)-8-HYDROXY-OCTANE	F2
1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	HCK|RET
Daclizumab	IL2RA|IL2RB|FCGR2B|FCGR3A|C1QC|C1QB|C1QA|FCGR3B|FCGR1A|C1R|FCGR2A
SP4160	IL2
Somatropin recombinant	PRLR|GHR
Bosutinib	SRC|MAP3K2|CAMK2G|CDK2|MAP2K2|MAP2K1|ABL1|HCK|LYN|BCR
N-Hydroxy-4-(Methyl{[5-(2-Pyridinyl)-2-Thienyl]Sulfonyl}Amino)Benzamide	HDAC8
Flupirtine	ADRA2A
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMA2|PSMA3|PSMA1|PSMA6|PSMA7|PSMA4|PSMA5|PSMB7|PSMB6|PSMB5|PSMB4|PSMB3|PSMB2|PSMB1
Nalbuphine	OPRK1|OPRM1|OPRD1
[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium	PRSS1
5-Mercapto-2-Nitro-Benzoic Acid	IL12B
Sp-Adenosine-3',5'-Cyclic-Monophosphorothioate	PRKAR1A
Mycophenolic acid	IMPDH1|IMPDH2
N-METHYL-N-[(1R)-1-METHYL-2-PHENYLETHYL]PROP-2-EN-1-AMINE	MAOB
Nilotinib	ABL1|KIT
Mercaptopurine	HPRT1|PPAT|IMPDH1|IMPDH2
Thymidine-5'-Triphosphate	TK1
2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone	PARP1
Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]	CA2
Cyclothiazide	CA2|CA1|FXYD2|CA4
Flumethasone Pivalate	NR3C1
N-cyclooctylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	PRSS1|F2
3-Deoxyguanosine	PNP
5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine	DHFR
Potassium	ATP1A1
Pseudoephedrine	ADRA1A|SLC6A3|SLC6A2|JUN|FOS|SLC6A4|JDP2|ADRA2A|ADRB1|ADRB2|TNF|IL2|ATF5|NFATC1|ATF4|ATF7|ATF6|ATF1|ATF3|ATF2
CRA_10655	PRSS1|PLAU
Troglitazone	ESRRG|ESRRA|ACSL4|PPARG|SLC29A1|SERPINE1
1-Deoxy-1-Methoxycarbamido-Beta-D-Gluco-2-Heptulopyranosonamide	PYGM
Proflavine	F2
9,10-Deepithio-9,10-Didehydroacanthifolicin	PPP1CC
Buserelin	LHCGR|GNRHR
Clodronate	SLC25A6|SLC25A5|SLC25A4
AGRO100	IKBKG
PPI-2458	METAP2
Alectinib	ALK
5-[2,3-Dichloro-4-(5-{1-[2-(2-Guanidino-4-Methyl-Pentanoylamino)-Acetyl]-Piperidin-4-Yl}-1-Methyl-1h-Pyrazol-3-Yl)-Phenoxymethyl]-Furan-2-Carboxylic Acid	IL2
Nabilone	CNR1|CNR2
1-[(2S)-4-(5-BROMO-1H-PYRAZOLO[3,4-B]PYRIDIN-4-YL)MORPHOLIN-2-YL]METHANAMINE	CHEK1
Bupranolol	ADRB1|ADRB2|ADRB3
3,5,3',5'-Tetrachloro-Biphenyl-4,4'-Diol	SULT1E1
Para-Coumaric Acid	PTGR1
Testosterone	AR
Phenelzine	AOC3|GPT2|MAOB|MAOA|ABAT|GPT
(20S)-19,20,21,22-TETRAHYDRO-19-OXO-5H-18,20-ETHANO-12,14-ETHENO-6,10-METHENO-18H-BENZ[D]IMIDAZO[4,3-K][1,6,9,12]OXATRIAZA-CYCLOOCTADECOSINE-9-CARBONITRILE	FNTA|FNTB
5-[(4-AMINOCYCLOHEXYL)AMINO]-7-(PROPAN-2-YLAMINO)PYRAZOLO[1,5-A]PYRIMIDINE-3-CARBONITRILE	CDK2
3-[4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol	CDK2
Tacrolimus	FKBP1A
Mesobiliverdin Iv Alpha	BLVRB
3-(1H-INDOL-3-YL)-4-{1-[2-(1-METHYLPYRROLIDIN-2-YL)ETHYL]-1H-INDOL-3-YL}-1H-PYRROLE-2,5-DIONE	PRKACA
6-Phosphogluconic Acid	PGD|GPI
4-(1H-IMIDAZOL-1-YL)PHENOL	NOS2
Argadin	CHIT1
6-(2-fluorobenzyl)-2,4-dimethyl-4,6-dihydro-5H-thieno[2',3':4,5]pyrrolo[2,3-d]pyridazin-5-one	PKM
Lomustine	STMN4
Reidispongiolide A	ACTA1
Butenafine	SQLE
Clomipramine	SLC6A2|SLC6A4|GSTP1|HTR2A|HTR2C|HTR2B
DG031	ALOX5AP
Nitrazepam	GABRB3|GABRG3|GABRR1|GABRG1|GABRG2|GABRQ|GABRP|GABRD|GABRR3|GABRE|GABRB1|SCN1A|GABRA5|GABRA4|GABRB2|GABRA6|GABRA1|GABRR2|GABRA3|GABRA2
Oxypurinol	XDH
N-(2,2,2-TRIFLUOROETHYL)-N-{4-[2,2,2-TRIFLUORO-1-HYDROXY-1-(TRIFLUOROMETHYL)ETHYL]PHENYL}BENZENESULFONAMIDE	NCOA2|NCOA1|RXRB|NR1I2|NR1H2|NR1H3
Desflurane	GABRG3|GABRG2|GABRG1|GRIA1|GABRA5|GABRA4|GABRA6|GABRA1|GABRA3|ATP5D|ATP2C1|ND1|GABRA2|KCNA1|GABRB1|GABRB2|GABRB3|GLRA1|GABRQ|GABRP|GABRE|GABRD
Pyridoxamine-5'-Phosphate	CCBL1|BCAT2
4-[4-(2,5-DIOXO-PYRROLIDIN-1-YL)-PHENYLAMINO]-4-HYDROXY-BUTYRIC ACID	MYL6B|MYH7|MYL12A
Methoxamine	ADRA1A|ADRA1B|ADRA1D
Epothilone D	TUBA3C|TUBA8|TUBA1C|TUBA1B|TUBA1A|TUBB|TUBB1|TUBB3|TUBB4B|TUBA4A|TUBB4A
MPI-674	CYP19A1
Fludarabine	POLA1|DCK|RRM1
3-(4-HYDROXYPHENYL)-4,5-DIHYDRO-5-ISOXAZOLE-ACETIC ACID METHYL ESTER	MIF
N-{3-METHYL-5-[2-(PYRIDIN-4-YLAMINO)-ETHOXY]-PHENYL}-BENZENESULFONAMIDE	F2
(9S,10E,12Z)-9-hydroxyoctadeca-10,12-dienoic acid	PPARG
4-{5-[(1Z)-1-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)ETHYL]-2-FURYL}BENZENESULFONAMIDE	CDK2
R1295	ITGA4|ITGB4|ITGB7
S-Adenosyl-L-Homocysteine	GAMT|GNMT|DPH5|PRMT3|COMTD1|PRMT1|PCMT1|TRDMT1|PNMT|HNMT|SETD7
(1R,3R)-5-[(2E)-3-{(1S,3R)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol	NCOA1|VDR
Erlotinib	NR1I2|EGFR
N-[(2R)-2-benzyl-4-(hydroxyamino)-4-oxobutanoyl]-L-alanine	LTA4H
Benzylamine	PRSS1|PRSS2
Coagulation Factor IX	F2|GGCX|F7|F8|LRP1|F10|F11
Frovatriptan	HTR1D|HTR1B
Ramipril	ACE
Ethanolamine Oleate	F12
AZD6140	P2RY12
N-Benzoyl-N'-Beta-D-Glucopyranosyl Urea	PYGM
3-{[(2,2-DIOXIDO-1,3-DIHYDRO-2-BENZOTHIEN-5-YL)AMINO]METHYLENE}-5-(1,3-OXAZOL-5-YL)-1,3-DIHYDRO-2H-INDOL-2-ONE	CDK2
Pentagastrin	CCKBR
Arginineamide	KCNA4
(2R)-2-benzyl-3-nitropropanoic acid	CPA1
Aclidinium	CHRM5|CHRM4|CHRM3|CHRM2|CHRM1
Degarelix	GNRHR
Cytidine-2'-Monophosphate	RNASE1
Oxyphencyclimine	CHRM3|CHRM2|CHRM1
[4-(4-PHENYL-PIPERIDIN-1-YL)-BENZENESULFONYLAMINO]-ACETIC ACID	MMP3
ND7001	PDE2A
2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine	PRSS1|PLAU
N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide	CA2
N-methyl-1-(2-thiophen-2-ylphenyl)methanamine	LTA4H
CP-271485	MMP12
omega interferon	IFNAR2|IFNAR1
(5S)-4,5-difluoro-6-[(2-fluoro-4-iodophenyl)imino]-N-(2-hydroxyethoxy)cyclohexa-1,3-diene-1-carboxamide	MAP2K1
Tubocurarine	ACHE|CHRNA2|HTR3A
Ecallantide	KLKB1
(2R)-2-(7-carbamoyl-1H-benzimidazol-2-yl)-2-methylpyrrolidinium	PARP1|PARP2
2'-O-Acetyl Adenosine-5-Diphosphoribose	SIRT5
(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide	DHODH
Estrone	ESR1
2-((9H-PURIN-6-YLTHIO)METHYL)-5-CHLORO-3-(2-METHOXYPHENYL)QUINAZOLIN-4(3H)-ONE	PIK3CD|PIK3CG
Tiagabine	SLC6A1
Esmirtazapine	HRH1|ADRA2A|ADRA2B|ADRA2C|HTR2A|HTR2C|HTR2B
3-[(5s)-1-Acetyl-3-(2-Chlorophenyl)-4,5-Dihydro-1h-Pyrazol-5-Yl]Phenol	KIF11
Temsirolimus	MTOR
N-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-D-tryptophan	ADAM17
N-[O-Phosphono-Pyridoxyl]-Isoleucine	BCAT2
Pantothenoylaminoethenethiol	PPCDC
Monoisopropyl Ester Phosphonic Acid Group	BCHE
(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL	ESR2|ESR1
Dalteparin	SELP|TFPI|VEGFA|SERPINC1
Pargyline	MAOB|MAOA
(2R)-1-[4-({4-[(2,5-DICHLOROPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL	CDK2
[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,	PTPN1
N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea	MAPK14
S-Hydroxymethyl Glutathione	ADH5
4-Methoxyamphetamine	ADRA1A|SLC6A3|SLC6A4|ADRA2A|MAOB|MAOA|SLC18A2
[3-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Propyl-]-Phosphonic Acid	PLA2G2A
D-[(Amino)Carbonyl]Phenylalanine	CPA1
Lomitapide	MTTP
(2S)-2-({6-[(3-AMINO-5-CHLOROPHENYL)AMINO]-9-ISOPROPYL-9H-PURIN-2-YL}AMINO)-3-METHYLBUTAN-1-OL	CDK6
